,id,type,special_spot_condition,mission_buff_condition,person_condition
834,638020201,3,6380202*>0,,
835,638020301,3,6380203*>0,,
836,638021101,3,6380211*>0,,
837,638021201,3,6380212*>0,,
838,638021301,3,6380213*>0,,
839,638022100,3,6380221*==0,,
840,638022101,3,6380221*>0,,
841,638022200,3,6380222*==0,,
842,638022201,3,6380222*>0,,
843,638022300,3,6380223*==0,,
844,638022301,3,6380223*>0,,
845,638023100,3,6380231*==0,,
846,638023101,3,6380231*>0,,
847,638023200,3,6380232*==0,,
848,638023201,3,6380232*>0,,
849,638023300,3,6380233*==0,,
850,638023301,3,6380233*>0,,
851,639030301,3,6390303*>0,,
852,639031301,3,6390313*>0,,
853,639032300,3,6390323*==0,,
854,639032301,3,6390323*>0,,
855,639033300,3,6390333*==0,,
856,639033301,3,6390333*>0,,
857,639033401,3,6390334*>0,,
858,641010201,3,6410102*>0,,
859,641010301,3,6410103*>0,,
860,641030501,3,6410305*>0,,
861,641030601,3,6410306*>0,,
862,641030701,3,6410307*>0,,
863,641030801,3,6410308*>0,,
864,641040301,3,6410403*>0,,
865,641041301,3,6410413*>0,,
866,641042300,3,6410423*==0,,
867,641042301,3,6410423*>0,,
868,641043300,3,6410433*==0,,
869,641043301,3,6410433*>0,,
870,641050301,3,6410503*>0,,
871,641051301,3,6410513*>0,,
872,641052300,3,6410523*==0,,
873,641052301,3,6410523*>0,,
874,641053300,3,6410533*==0,,
875,641053301,3,6410533*>0,,
876,641060101,3,6410601*>0,,
877,641060201,3,6410602*>0,,
878,641060301,3,6410603*>0,,
879,641060401,3,6410604*>0,,
880,641070101,3,6410701*>0,,
881,641070301,3,6410703*>0,,
882,641090101,3,6410901*>0,,
883,641090201,3,6410902*>0,,
884,641090401,3,6410904*>0,,
885,641100101,3,6411001*>0,,
886,641110101,3,6411101*>0,,
887,641120101,3,6411201*>0,,
888,641120201,3,6411202*>0,,
889,641120301,3,6411203*>0,,
890,641120401,3,6411204*>0,,
891,641120501,3,6411205*>0,,
892,641140101,3,6411401*>0,,
893,641140201,3,6411402*>0,,
894,641140301,3,6411403*>0,,
895,641140401,3,6411404*>0,,
896,641140501,3,6411405*>0,,
897,641140601,3,6411406*>0,,
898,643000101,3,6430001*>0,,
899,643000200,4,,6430002*==0,
900,643000201,3,6430002*>0,,
901,643000301,3,6430003*>0,,
902,643000400,4,,6430004*==0,
903,643000700,3,6430007*==0,,
904,643001700,3,6430017*==0,,
905,643002201,3,6430022*>0,,
906,643002301,3,6430023*>0,,
907,643002501,3,6430025*>0,,
908,643002601,3,6430026*>0,,
909,643020201,3,6430202*>0,,
910,644000101,3,6440001*>0,,
911,644000201,3,6440002*>0,,
912,644000501,3,6440005*>0,,
913,644000601,3,6440006*>0,,
914,644001101,3,6440011*>0,,
915,644001201,3,6440012*>0,,
916,644001301,3,6440013*>0,,
917,644001401,3,6440014*>0,,
918,644001501,3,6440015*>0,,
919,644001701,3,6440017*>0,,
920,644001900,3,6440019*==0,,
921,644001901,3,6440019*>0,,
922,644002000,3,6440020*==0,,
923,644002001,3,6440020*>0,,
924,644002100,3,6440021*==0,,
925,644002101,3,6440021*>0,,
926,644002200,3,6440022*==0,,
927,644002201,3,6440022*>0,,
928,644003501,3,6440035*>0,,
929,644003601,3,6440036*>0,,
930,644003701,3,6440037*>0,,
931,644003801,3,6440038*>0,,
932,644003901,3,6440039*>0,,
933,644004001,3,6440040*>0,,
934,644004101,3,6440041*>0,,
935,644004301,3,6440043*>0,,
936,644004401,3,6440044*>0,,
937,644004601,3,6440046*>0,,
938,644005301,3,6440053*>0,,
939,644005401,3,6440054*>0,,
940,644005501,3,6440055*>0,,
941,644005601,3,6440056*>0,,
942,644005701,3,6440057*>0,,
943,644006501,3,6440065*>0,,
944,644006701,3,6440067*>0,,
945,644006801,3,6440068*>0,,
946,644007001,3,6440070*>0,,
947,644007101,3,6440071*>0,,
948,644007201,3,6440072*>0,,
949,644007301,3,6440073*>0,,
950,644007501,3,6440075*>0,,
951,644007601,3,6440076*>0,,
952,644007701,3,6440077*>0,,
953,644008101,3,6440081*>0,,
954,644008201,3,6440082*>0,,
955,644008301,3,6440083*>0,,
956,644008401,3,6440084*>0,,
957,644008501,3,6440085*>0,,
958,644008601,3,6440086*>0,,
959,644008701,3,6440087*>0,,
960,644008801,3,6440088*>0,,
961,644009001,3,6440090*>0,,
962,644009101,3,6440091*>0,,
963,644009201,3,6440092*>0,,
964,644009301,3,6440093*>0,,
965,644009401,3,6440094*>0,,
966,644009501,3,6440095*>0,,
967,644009601,3,6440096*>0,,
968,644009701,3,6440097*>0,,
969,644009801,3,6440098*>0,,
970,644009901,3,6440099*>0,,
971,644997301,3,6449973*>0,,
972,644997401,3,6449974*>0,,
973,644997503,3,6449975*==3,,
974,644998901,3,6449989*>0,,
975,644999601,3,6449996*>0,,
976,646000201,3,6460002*>0,,
977,646000301,3,6460003*>0,,
978,646000401,3,6460004*>0,,
979,646000501,3,6460005*>0,,
980,646000601,3,6460006*>0,,
981,646000701,3,6460007*>0,,
982,646000801,3,6460008*>0,,
983,646002001,3,6460020*>0,,
984,646002101,3,6460021*>0,,
985,646002201,3,6460022*>0,,
986,646002301,3,6460023*>0,,
987,647000101,3,6470001*>0,,
988,647000201,3,6470002*>0,,
989,647000301,3,6470003*>0,,
990,647000401,3,6470004*>0,,
991,648000300,4,,6480003*==0,
992,648000400,4,,6480004*==0,
993,648000401,4,,6480004*>0,
994,648000501,3,6480005*>0,,
995,648000601,3,6480006*>0,,
996,648000701,3,6480007*>0,,
997,648001801,3,6480018*>0,,
998,648001901,3,6480019*>0,,
999,648002001,3,6480020*>0,,
1000,648002201,3,6480022*>0,,
1001,648002301,3,6480023*>0,,
1002,648002401,3,6480024*>0,,
1003,648002501,3,6480025*>0,,
1004,648002801,3,6480028*>0,,
1005,648003101,3,6480031*>0,,
1006,648003201,3,6480032*>0,,
1007,648003301,3,6480033*>0,,
1008,648003401,3,6480034*>0,,
1009,648003701,3,6480037*>0,,
1010,648003901,3,6480039*>0,,
1011,648004001,3,6480040*>0,,
1012,648004101,3,6480041*>0,,
1013,648004301,3,6480043*>0,,
1014,648004401,3,6480044*>0,,
1015,648004500,3,6480045*==0,,
1016,648006901,3,6480069*>0,,
1017,648007001,3,6480070*>0,,
1018,648007400,3,6480074*==0,,
1019,648007501,3,6480075*>0,,
1020,648007601,3,6480076*>0,,
1021,648007701,3,6480077*>0,,
1022,648007801,3,6480078*>0,,
1023,648007901,3,6480079*>0,,
1024,648008001,3,6480080*>0,,
1025,648008101,3,6480081*>0,,
1026,648008201,3,6480082*>0,,
1027,648008301,3,6480083*>0,,
1028,648008401,3,6480084*>0,,
1029,648008501,3,6480085*>0,,
1030,648008601,3,6480086*>0,,
1031,648008701,3,6480087*>0,,
1032,648010900,3,6480109*==0,,
1033,648020501,6,,,6480205*>0
1034,648998101,6,,,6480341*>0
1035,648998201,6,,,6480342*>0
1036,648998301,6,,,6480343*>0
1037,648998401,6,,,6480344*>0
1038,648998501,6,,,6480345*>0
1039,648998601,6,,,6480346*>0
1040,648999101,6,,,6480841*>0
1041,648999201,6,,,6480842*>0
1042,648999301,6,,,6480843*>0
1043,648999401,6,,,6480844*>0
1044,648999501,6,,,6480845*>0
1045,648999601,6,,,6480846*>0
1046,651000101,3,6510001*>0,,
1047,651000201,3,6510002*>0,,
1048,651000241,4,,6510002*>0,
1049,651000301,3,6510003*>0,,
1050,651000341,4,,6510003*>0,
1051,651000401,3,6510004*>0,,
1052,651000441,4,,6510004*>0,
1053,651000501,3,6510005*>0,,
1054,651000601,3,6510006*>0,,
1055,651000701,3,6510007*>0,,
1056,651000801,3,6510008*>0,,
1057,651001041,4,,6510010*>0,
1058,651001101,3,6510011*>0,,
1059,651001231,3,6510012*>0,,
1060,651001241,4,,6510012*>0,
1061,651001301,3,6510013*>0,,
1062,651001341,4,,6510013*>0,
1063,651001431,3,6510014*>0,,
1064,651001441,4,,6510014*>0,
1065,651001501,3,6510015*>0,,
1066,651001601,3,6510016*>0,,
1067,651001701,3,6510017*>0,,
1068,651001801,3,6510018*>0,,
1069,651001861,6,,,6510018*>0
1070,651002101,3,6510021*>0,,
1071,651002201,3,6510022*>0,,
1072,651002261,6,,,6510022*>0
1073,651002301,3,6510023*>0,,
1074,651002401,3,6510024*>0,,
1075,651002501,3,6510025*>0,,
1076,651002601,3,6510026*>0,,
1077,651002701,3,6510027*>0,,
1078,651002801,3,6510028*>0,,
1079,651002901,3,6510029*>0,,
1080,651003001,3,6510030*>0,,
1081,651003101,3,6510031*>0,,
1082,651003201,3,6510032*>0,,
1083,651003301,3,6510033*>0,,
1084,651003401,3,6510034*>0,,
1085,651003501,3,6510035*>0,,
1086,651003601,3,6510036*>0,,
1087,651003701,3,6510037*>0,,
1088,651003801,3,6510038*>0,,
1089,651003901,3,6510039*>0,,
1090,651004001,3,6510040*>0,,
1091,651006101,3,6510061*>0,,
1092,651006201,3,6510062*>0,,
1093,651006500,3,6510065*==0,,
1094,651006501,3,6510065*>0,,
1095,651006801,3,6510068*>0,,
1096,651006901,3,6510069*>0,,
1097,651007001,3,6510070*>0,,
1098,651007101,3,6510071*>0,,
1099,651007201,3,6510072*>0,,
1100,651007301,3,6510073*>0,,
1101,651007401,3,6510074*>0,,
1102,651007501,3,6510075*>0,,
1103,651007601,3,6510076*>0,,
1104,651007701,3,6510077*>0,,
1105,651007801,3,6510078*>0,,
1106,651008201,3,6510082*>0,,
1107,651008901,3,6510089*>0,,
1108,651009001,3,6510090*>0,,
1109,651009101,3,6510091*>0,,
1110,651009500,3,6510095*==0,,
1111,651009501,3,6510095*>0,,
1112,651009601,3,6510096*>0,,
1113,651009701,3,6510097*>0,,
1114,651009801,3,6510098*>0,,
1115,651009901,3,6510099*>0,,
1116,651010001,3,6510100*>0,,
1117,651010101,3,6510101*>0,,
1118,651010201,3,6510102*>0,,
1119,651010301,3,6510103*>0,,
1120,651010401,3,6510104*>0,,
1121,651010501,3,6510105*>0,,
1122,651010601,3,6510106*>0,,
1123,651010801,3,6510108*>0,,
1124,651010901,3,6510109*>0,,
1125,651011101,3,6510111*>0,,
1126,651011601,3,6510116*>0,,
1127,651011801,3,6510118*>0,,
1128,651012001,3,6510120*>0,,
1129,651012101,3,6510121*>0,,
1130,651013001,3,6510130*>0,,
1131,651013102,3,6510131*>1,,
1132,651013202,3,6510132*>1,,
1133,651013302,3,6510133*>1,,
1134,651013402,3,6510134*>1,,
1135,651013502,3,6510135*>1,,
1136,651013602,3,6510136*>1,,
1137,651014201,3,6510142*>0,,
1138,651014701,3,6510147*>0,,
1139,651014801,3,6510148*>0,,
1140,651015001,3,6510150*>0,,
1141,651015531,3,6510155*>8,,
1142,651015601,3,6510156*>0,,
1143,651015631,3,6510156*>0,,
1144,651018851,6,,,6510013*>0
1145,651018852,6,,,6510014*>0
1146,651018853,6,,,6510015*>0
1147,651018951,5,,,6511104*>0
1148,651018952,5,,,6512106*>0
1149,651018953,5,,,6513106*>0
1150,651018954,5,,,6511108*>0
1151,651018955,5,,,6512111*>0
1152,651018956,5,,,6513111*>0
1153,651130161,6,,,6511301*>0
1154,651220301,6,,,6512203*>0
1155,651220401,6,,,6512204*>0
1156,651230161,6,,,6512301*>0
1157,651320301,6,,,6513203*>0
1158,651320401,6,,,6513204*>0
1159,651330161,6,,,6513301*>0
1160,812030191,3,"1010100*>0,1020101*>0,1020201*>0,1020301*>0,1020401*>0",,
1161,812071690,3,8120716*==0,,
1162,812071691,3,8120716*>0,,
1163,812071790,3,8120717*==0,,
1164,812071791,3,8120717*>0,,
1165,812071890,3,8120718*==0,,
1166,812071891,3,8120718*>0,,
1167,903212001,3,"1020101*>0,1020201*>0,1020301*>0,1020401*>0,1020701*>0,1010100*>0",,
1168,903212002,3,"1020101*==0,1020201*>0,1020301*>0,1020401*>0,1020701*>0,1010100*>0",,
1169,903212003,3,"1020101*>0,1020201*==0,1020301*>0,1020401*>0,1020701*>0,1010100*>0",,
1170,903212004,3,"1020101*>0,1020201*>0,1020301*==0,1020401*>0,1020701*>0,1010100*>0",,
1171,903212005,3,"1020101*>0,1020201*>0,1020301*>0,1020401*==0,1020701*>0,1010100*>0",,
1172,903212006,3,"1020101*>0,1020201*>0,1020301*>0,1020401*>0,1020701*==0,1010100*>0",,
1173,903212007,3,"1010201*==0,1010301*==0,1021001*>0,1021101*>0,1021201*>0,1010200*>0",,
1174,903212008,3,"1010201*==0,1010301*==0,1021001*>0,1021101*>0,1021301*>0,1010200*>0",,
1175,903212009,3,"1010201*==0,1010301*==0,1021001*>0,1021201*>0,1021301*>0,1010200*>0",,
1176,903212010,3,"1010201*==0,1010301*==0,1021001*>0,1021101*>0,1021201*>0,1010300*>0",,
1177,903212011,3,"1010201*==0,1010301*==0,1021001*>0,1021101*>0,1021301*>0,1010300*>0",,
1178,903212012,3,"1010201*==0,1010301*==0,1021001*>0,1021201*>0,1021301*>0,1010300*>0",,
1179,903212013,3,"1010201*==0,1010301*==0,1021001*==0,1021101*==0,1021201*>0,1021301*>0,1010200*>0",,
1180,903212014,3,"1010201*==0,1010301*==0,1021001*==0,1021101*>0,1021201*==0,1021301*>0,1010200*>0",,
1181,903212015,3,"1010201*==0,1010301*==0,1021001*==0,1021101*>0,1021201*>0,1021301*==0,1010200*>0",,
1182,903212016,3,"1010201*==0,1010301*==0,1021001*==0,1021101*==0,1021201*>0,1021301*>0,1010300*>0",,
1183,903212017,3,"1010201*==0,1010301*==0,1021001*==0,1021101*>0,1021201*==0,1021301*>0,1010300*>0",,
1184,903212018,3,"1010201*==0,1010301*==0,1021001*==0,1021101*>0,1021201*>0,1021301*==0,1010300*>0",,
1185,903212019,3,"1010201*==0,1010301*==0,1021201*>0,1021001*>0,1021101*>0,1021301*>0,1010200*>0",,
1186,903212020,3,"1010201*==0,1010301*==0,1021201*>0,1021001*==0,1021101*>0,1021301*>0,1010200*>0",,
1187,903212021,3,"1010201*==0,1010301*==0,1021201*>0,1021001*==0,1021101*==0,1021301*>0,1010200*>0",,
1188,903212022,3,"1010201*==0,1010301*==0,1021201*>0,1021001*==0,1021101*>0,1021301*==0,1010200*>0",,
1189,903212023,3,"1010201*==0,1010301*==0,1021201*>0,1021001*>0,1021101*==0,1021301*>0,1010200*>0",,
1190,903212024,3,"1010201*==0,1010301*==0,1021201*>0,1021001*>0,1021101*==0,1021301*==0,1010200*>0",,
1191,903212025,3,"1010201*==0,1010301*==0,1021201*>0,1021001*>0,1021101*>0,1021301*==0,1010200*>0",,
1192,903212026,3,"1010201*==0,1010301*==0,1021201*>0,1021001*>0,1021101*>0,1021301*>0,1010300*>0",,
1193,903212027,3,"1010201*==0,1010301*==0,1021201*>0,1021001*==0,1021101*>0,1021301*>0,1010300*>0",,
1194,903212028,3,"1010201*==0,1010301*==0,1021201*>0,1021001*==0,1021101*==0,1021301*>0,1010300*>0",,
1195,903212029,3,"1010201*==0,1010301*==0,1021201*>0,1021001*==0,1021101*>0,1021301*==0,1010300*>0",,
1196,903212030,3,"1010201*==0,1010301*==0,1021201*>0,1021001*>0,1021101*==0,1021301*>0,1010300*>0",,
1197,903212031,3,"1010201*==0,1010301*==0,1021201*>0,1021001*>0,1021101*==0,1021301*==0,1010300*>0",,
1198,903212032,3,"1010201*==0,1010301*==0,1021201*>0,1021001*>0,1021101*>0,1021301*==0,1010300*>0",,
1199,903212033,3,"1010201*==0,1010301*==0,1010200*>0,1021001*>0,1021101*==0,1021201*==0,1021301*==0",,
1200,903212034,3,"1010201*==0,1010301*==0,1010200*>0,1021001*==0,1021101*>0,1021201*==0,1021301*==0",,
1201,903212035,3,"1010201*==0,1010301*==0,1010200*>0,1021001*==0,1021101*==0,1021201*>0,1021301*==0",,
1202,903212036,3,"1010201*==0,1010301*==0,1010200*>0,1021001*==0,1021101*==0,1021201*==0,1021301*>0",,
1203,903212037,3,"1010201*==0,1010301*==0,1010300*>0,1021001*>0,1021101*==0,1021201*==0,1021301*==0",,
1204,903212038,3,"1010201*==0,1010301*==0,1010300*>0,1021001*==0,1021101*>0,1021201*==0,1021301*==0",,
1205,903212039,3,"1010201*==0,1010301*==0,1010300*>0,1021001*==0,1021101*==0,1021201*>0,1021301*==0",,
1206,903212040,3,"1010201*==0,1010301*==0,1010300*>0,1021001*==0,1021101*==0,1021201*==0,1021301*>0",,
1207,903212041,3,"1010201*==0,1010301*==0,1010200*>0,1021001*>0,1021101*==0,1021201*==0,1021301*>0",,
1208,903212042,3,"1010201*==0,1010301*==0,1010200*>0,1021001*==0,1021101*>0,1021201*==0,1021301*>0",,
1209,903212043,3,"1010201*==0,1010301*==0,1010200*>0,1021001*==0,1021101*==0,1021201*>0,1021301*>0",,
1210,903212044,3,"1010201*==0,1010301*==0,1010200*>0,1021001*==0,1021101*>0,1021201*>0,1021301*>0",,
1211,903212045,3,"1010201*==0,1010301*==0,1010200*>0,1021001*>0,1021101*==0,1021201*>0,1021301*>0",,
1212,903212046,3,"1010201*==0,1010301*==0,1010200*>0,1021001*>0,1021101*>0,1021201*==0,1021301*>0",,
1213,903212047,3,"1010201*==0,1010301*==0,1010300*>0,1021001*>0,1021101*==0,1021201*==0,1021301*>0",,
1214,903212048,3,"1010201*==0,1010301*==0,1010300*>0,1021001*==0,1021101*>0,1021201*==0,1021301*>0",,
1215,903212049,3,"1010201*==0,1010301*==0,1010300*>0,1021001*==0,1021101*==0,1021201*>0,1021301*>0",,
1216,903212050,3,"1010201*==0,1010301*==0,1010300*>0,1021001*==0,1021101*>0,1021201*>0,1021301*>0",,
1217,903212051,3,"1010201*==0,1010301*==0,1010300*>0,1021001*>0,1021101*==0,1021201*>0,1021301*>0",,
1218,903212052,3,"1010201*==0,1010301*==0,1010300*>0,1021001*>0,1021101*>0,1021201*==0,1021301*>0",,
1219,903212053,3,"1010200*>0,1010201*==0,1021001*==0",,
1220,903212054,3,"1010200*>0,1010201*==0,1021101*==0",,
1221,903212055,3,"1010200*>0,1010201*==0,1021201*==0",,
1222,903212056,3,"1010200*>0,1010201*==0,1021301*==0",,
1223,903212057,3,"1010300*>0,1010301*==0,1021001*==0",,
1224,903212058,3,"1010300*>0,1010301*==0,1021101*==0",,
1225,903212059,3,"1010300*>0,1010301*==0,1021201*==0",,
1226,903212060,3,"1010300*>0,1010301*==0,1021301*==0",,
1227,903212061,3,"1010201*==0,1010301*==0,1021001*==0,1021101*>0,1021201*>0,1021301*>0,1010200*>0",,
1228,903212062,3,"1010201*==0,1010301*==0,1021001*==0,1021101*>0,1021201*>0,1021301*>0,1010300*>0",,
1229,903212063,3,"1010201*==0,1010301*==0,1021001*>0,1021100*>0,1021201*==0,1021301*==0",,
1230,903215001,3,"1000100*>0,1000300*>0",,
1231,910000180,4,,9100001*==0,
1232,910000181,4,,9100001*>0,
1233,910000190,3,9100001*==0,,
1234,910000191,3,9100001*>0,,
1235,910000280,4,,9100002*==0,
1236,910000281,4,,9100002*>0,
1237,910000290,3,9100002*==0,,
1238,910000291,3,9100002*>0,,
1239,910000380,4,,9100003*==0,
1240,910000381,4,,9100003*>0,
1241,910000390,3,9100003*==0,,
1242,910000391,3,9100003*>0,,
1243,910000480,4,,9100004*==0,
1244,910000481,4,,9100004*>0,
1245,910000490,3,9100004*==0,,
1246,910000491,3,9100004*>0,,
1247,910000580,4,,9100005*==0,
1248,910000581,4,,9100005*>0,
1249,910000590,3,9100005*==0,,
1250,910000591,3,9100005*>0,,
1251,910000680,4,,9100006*==0,
1252,910000681,4,,9100006*>0,
1253,910000690,3,9100006*==0,,
1254,910000691,3,9100006*>0,,
1255,910000780,4,,9100007*==0,
1256,910000781,4,,9100007*>0,
1257,910000790,3,9100007*==0,,
1258,910000791,3,9100007*>0,,
1259,910000880,4,,9100008*==0,
1260,910000881,4,,9100008*>0,
1261,910000890,3,9100008*==0,,
1262,910000891,3,9100008*>0,,
1263,910000980,4,,9100009*==0,
1264,910000981,4,,9100009*>0,
1265,910000990,3,9100009*==0,,
1266,910000991,3,9100009*>0,,
1267,910001080,4,,9100010*==0,
1268,910001081,4,,9100010*>0,
1269,910001090,3,9100010*==0,,
1270,910001091,3,9100010*>0,,
1271,910001180,4,,9100011*==0,
1272,910001181,4,,9100011*>0,
1273,910001190,3,9100011*==0,,
1274,910001191,3,9100011*>0,,
1275,910001280,4,,9100012*==0,
1276,910001281,4,,9100012*>0,
1277,910001290,3,9100012*==0,,
1278,910001291,3,9100012*>0,,
1279,910001380,4,,9100013*==0,
1280,910001381,4,,9100013*>0,
1281,910001390,3,9100013*==0,,
1282,910001391,3,9100013*>0,,
1283,910001480,4,,9100014*==0,
1284,910001481,4,,9100014*>0,
1285,910001490,3,9100014*==0,,
1286,910001491,3,9100014*>0,,
1287,910001580,4,,9100015*==0,
1288,910001581,4,,9100015*>0,
1289,910001590,3,9100015*==0,,
1290,910001591,3,9100015*>0,,
1291,910001680,4,,9100016*==0,
1292,910001681,4,,9100016*>0,
1293,910001690,3,9100016*==0,,
1294,910001691,3,9100016*>0,,
1295,910001780,4,,9100017*==0,
1296,910001781,4,,9100017*>0,
1297,910001790,3,9100017*==0,,
1298,910001791,3,9100017*>0,,
1299,910001880,4,,9100018*==0,
1300,910001881,4,,9100018*>0,
1301,910001890,3,9100018*==0,,
1302,910001891,3,9100018*>0,,
1303,910001980,4,,9100019*==0,
1304,910001981,4,,9100019*>0,
1305,910001990,3,9100019*==0,,
1306,910001991,3,9100019*>0,,
1307,910002080,4,,9100020*==0,
1308,910002081,4,,9100020*>0,
1309,910002090,3,9100020*==0,,
1310,910002091,3,9100020*>0,,
1311,910002180,4,,9100021*==0,
1312,910002181,4,,9100021*>0,
1313,910002190,3,9100021*==0,,
1314,910002191,3,9100021*>0,,
1315,910002280,4,,9100022*==0,
1316,910002281,4,,9100022*>0,
1317,910002290,3,9100022*==0,,
1318,910002291,3,9100022*>0,,
1319,910002380,4,,9100023*==0,
1320,910002381,4,,9100023*>0,
1321,910002390,3,9100023*==0,,
1322,910002391,3,9100023*>0,,
1323,910002480,4,,9100024*==0,
1324,910002481,4,,9100024*>0,
1325,910002490,3,9100024*==0,,
1326,910002491,3,9100024*>0,,
1327,910002580,4,,9100025*==0,
1328,910002581,4,,9100025*>0,
1329,910002590,3,9100025*==0,,
1330,910002591,3,9100025*>0,,
1331,910002680,4,,9100026*==0,
1332,910002681,4,,9100026*>0,
1333,910002690,3,9100026*==0,,
1334,910002691,3,9100026*>0,,
1335,910002780,4,,9100027*==0,
1336,910002781,4,,9100027*>0,
1337,910002790,3,9100027*==0,,
1338,910002791,3,9100027*>0,,
1339,910002880,4,,9100028*==0,
1340,910002881,4,,9100028*>0,
1341,910002890,3,9100028*==0,,
1342,910002891,3,9100028*>0,,
1343,910002980,4,,9100029*==0,
1344,910002981,4,,9100029*>0,
1345,910002990,3,9100029*==0,,
1346,910002991,3,9100029*>0,,
1347,910003080,4,,9100030*==0,
1348,910003081,4,,9100030*>0,
1349,910003090,3,9100030*==0,,
1350,910003091,3,9100030*>0,,
1351,910003180,4,,9100031*==0,
1352,910003181,4,,9100031*>0,
1353,910003190,3,9100031*==0,,
1354,910003191,3,9100031*>0,,
1355,910003280,4,,9100032*==0,
1356,910003281,4,,9100032*>0,
1357,910003290,3,9100032*==0,,
1358,910003291,3,9100032*>0,,
1359,910003380,4,,9100033*==0,
1360,910003381,4,,9100033*>0,
1361,910003390,3,9100033*==0,,
1362,910003391,3,9100033*>0,,
1363,910003480,4,,9100034*==0,
1364,910003481,4,,9100034*>0,
1365,910003490,3,9100034*==0,,
1366,910003491,3,9100034*>0,,
1367,910003580,4,,9100035*==0,
1368,910003581,4,,9100035*>0,
1369,910003590,3,9100035*==0,,
1370,910003591,3,9100035*>0,,
1371,910003680,4,,9100036*==0,
1372,910003681,4,,9100036*>0,
1373,910003690,3,9100036*==0,,
1374,910003691,3,9100036*>0,,
1375,910003780,4,,9100037*==0,
1376,910003781,4,,9100037*>0,
1377,910003790,3,9100037*==0,,
1378,910003791,3,9100037*>0,,
1379,910003880,4,,9100038*==0,
1380,910003881,4,,9100038*>0,
1381,910003890,3,9100038*==0,,
1382,910003891,3,9100038*>0,,
1383,910003980,4,,9100039*==0,
1384,910003981,4,,9100039*>0,
1385,910003990,3,9100039*==0,,
1386,910003991,3,9100039*>0,,
1387,910004080,4,,9100040*==0,
1388,910004081,4,,9100040*>0,
1389,910004090,3,9100040*==0,,
1390,910004091,3,9100040*>0,,
1391,910004180,4,,9100041*==0,
1392,910004181,4,,9100041*>0,
1393,910004190,3,9100041*==0,,
1394,910004191,3,9100041*>0,,
1395,910004280,4,,9100042*==0,
1396,910004281,4,,9100042*>0,
1397,910004290,3,9100042*==0,,
1398,910004291,3,9100042*>0,,
1399,910004380,4,,9100043*==0,
1400,910004381,4,,9100043*>0,
1401,910004390,3,9100043*==0,,
1402,910004391,3,9100043*>0,,
1403,910004480,4,,9100044*==0,
1404,910004481,4,,9100044*>0,
1405,910004490,3,9100044*==0,,
1406,910004491,3,9100044*>0,,
1407,910004580,4,,9100045*==0,
1408,910004581,4,,9100045*>0,
1409,910004590,3,9100045*==0,,
1410,910004591,3,9100045*>0,,
1411,910004680,4,,9100046*==0,
1412,910004681,4,,9100046*>0,
1413,910004690,3,9100046*==0,,
1414,910004691,3,9100046*>0,,
1415,910004780,4,,9100047*==0,
1416,910004781,4,,9100047*>0,
1417,910004790,3,9100047*==0,,
1418,910004791,3,9100047*>0,,
1419,910004880,4,,9100048*==0,
1420,910004881,4,,9100048*>0,
1421,910004890,3,9100048*==0,,
1422,910004891,3,9100048*>0,,
1423,910004980,4,,9100049*==0,
1424,910004981,4,,9100049*>0,
1425,910004990,3,9100049*==0,,
1426,910004991,3,9100049*>0,,
1427,910005080,4,,9100050*==0,
1428,910005081,4,,9100050*>0,
1429,910005090,3,9100050*==0,,
1430,910005091,3,9100050*>0,,
1431,910005180,4,,9100051*==0,
1432,910005181,4,,9100051*>0,
1433,910005190,3,9100051*==0,,
1434,910005191,3,9100051*>0,,
1435,910005280,4,,9100052*==0,
1436,910005281,4,,9100052*>0,
1437,910005290,3,9100052*==0,,
1438,910005291,3,9100052*>0,,
1439,910005380,4,,9100053*==0,
1440,910005381,4,,9100053*>0,
1441,910005390,3,9100053*==0,,
1442,910005391,3,9100053*>0,,
1443,910005480,4,,9100054*==0,
1444,910005481,4,,9100054*>0,
1445,910005490,3,9100054*==0,,
1446,910005491,3,9100054*>0,,
1447,910005580,4,,9100055*==0,
1448,910005581,4,,9100055*>0,
1449,910005590,3,9100055*==0,,
1450,910005591,3,9100055*>0,,
1451,910005680,4,,9100056*==0,
1452,910005681,4,,9100056*>0,
1453,910005690,3,9100056*==0,,
1454,910005691,3,9100056*>0,,
1455,910005780,4,,9100057*==0,
1456,910005781,4,,9100057*>0,
1457,910005790,3,9100057*==0,,
1458,910005791,3,9100057*>0,,
1459,910005880,4,,9100058*==0,
1460,910005881,4,,9100058*>0,
1461,910005890,3,9100058*==0,,
1462,910005891,3,9100058*>0,,
1463,910005980,4,,9100059*==0,
1464,910005981,4,,9100059*>0,
1465,910005990,3,9100059*==0,,
1466,910005991,3,9100059*>0,,
1467,910006080,4,,9100060*==0,
1468,910006081,4,,9100060*>0,
1469,910006090,3,9100060*==0,,
1470,910006091,3,9100060*>0,,
1471,913050390,3,9130503*==0,,
1472,913050391,3,9130503*>0,,
1473,913060191,3,"1020101*>0,1020201*>0,1020301*>0",,
1474,913060291,3,"1020101*==0,1020201*==0,1020301*==0",,
1475,913060391,3,"1020101*==0,1020201*>0,1020301*>0",,
1476,913060491,3,"1020101*>0,1020201*==0,1020301*>0",,
1477,913060591,3,"1020101*>0,1020201*>0,1020301*==0",,
1478,913060691,3,"1020101*>0,1020201*==0,1020301*==0",,
